sector,sector_return,sector_value,sector_market_cap,advancers,decliners,stable,stock_count,sector_breadth_ratio
Basic Materials,0.007619252025540591,2419532057864.0,1386426364529385.0,40.0,30.0,43.0,113.0,0.5714285714285714
Consumer Cyclicals,0.0048615354961088,1056311069796.0,413653673888197.0,63.0,40.0,61.0,164.0,0.6116504854368932
Consumer Non-Cyclicals,-0.0026827048749801506,713586857914.0,985130887440178.0,45.0,45.0,42.0,132.0,0.5
Energy,-0.002247900916660049,1883533985160.0,1391151115365471.0,28.0,33.0,30.0,91.0,0.45901639344262296
Financials,-0.00405002960042065,2451896334726.0,2818207227066418.0,46.0,29.0,31.0,106.0,0.6133333333333333
Healthcare,-0.010756434535296261,390236087328.0,334046194613234.0,12.0,18.0,8.0,38.0,0.4
Industrials,-0.005812979264110844,878819569110.0,451120362634935.0,23.0,20.0,22.0,65.0,0.5348837209302325
Infrastructures,0.002065678207294138,892369496830.0,1553742714163111.0,24.0,25.0,21.0,70.0,0.4897959183673469
Properties & Real Estate,0.005710943774559215,317239342275.0,434705680121338.0,29.0,23.0,40.0,92.0,0.5576923076923077
Technology,0.003416186912807039,206965192977.0,704059303324824.0,17.0,10.0,21.0,48.0,0.6296296296296297
Transportation & Logistic,0.003995090211032777,143097775055.0,66199749081235.0,16.0,12.0,12.0,40.0,0.5714285714285714
