code,previous,close,trading_value,listed_shares,market_cap,stock_return,sector
AADI,8425.0,8475.0,63392472500.0,7786891760.0,65993907666000.0,0.005934718100890191,Energy
AALI,6300.0,6300.0,2950782500.0,1924688333.0,12125536497900.0,0.0,Consumer Non-Cyclicals
ABBA,30.0,30.0,0.0,3935892857.0,118076785710.0,0.0,Consumer Cyclicals
ABDA,3400.0,3400.0,4420000.0,620806680.0,2110742712000.0,0.0,Financials
ABMM,2390.0,2420.0,724901000.0,2753165000.0,6662659300000.0,0.012552301255230214,Energy
ACES,346.0,346.0,2188128400.0,17120389700.0,5923654836200.0,0.0,Consumer Cyclicals
ACRO,62.0,63.0,286657600.0,3469345537.0,218568768831.0,0.016129032258064502,Consumer Cyclicals
ACST,77.0,78.0,9443300.0,17675160000.0,1378662480000.0,0.01298701298701288,Infrastructures
ADCP,50.0,50.0,0.0,22222222200.0,1111111110000.0,0.0,Properties & Real Estate
ADES,34925.0,34125.0,1337122500.0,589896800.0,20130228300000.0,-0.0229062276306371,Consumer Non-Cyclicals
ADHI,162.0,163.0,1618705600.0,8407608979.0,1370440263577.0,0.006172839506172867,Infrastructures
ADMF,8075.0,8150.0,444737500.0,1235803109.0,10071795338350.0,0.009287925696594534,Financials
ADMG,222.0,216.0,381996200.0,3889179559.0,840062784744.0,-0.027027027027026973,Basic Materials
ADMR,1500.0,1515.0,25440430500.0,40882331500.0,61936732222500.0,0.010000000000000009,Energy
ADRO,2480.0,2480.0,67238647000.0,28800494200.0,71425225616000.0,0.0,Energy
AEGS,39.0,41.0,271035800.0,1006080721.0,41249309561.0,0.05128205128205132,Consumer Cyclicals
AGAR,260.0,324.0,316807200.0,1000000000.0,324000000000.0,0.24615384615384617,Consumer Non-Cyclicals
AGII,3180.0,3010.0,1551136000.0,3066660000.0,9230646600000.0,-0.053459119496855334,Basic Materials
AGRO,142.0,145.0,635284300.0,24493093216.0,3551498516320.0,0.021126760563380254,Financials
AGRS,60.0,59.0,165088200.0,47367057874.0,2794656414566.0,-0.01666666666666672,Financials
AHAP,93.0,94.0,1318926700.0,4900000000.0,460600000000.0,0.010752688172043001,Financials
AIMS,436.0,428.0,40973600.0,220000000.0,94160000000.0,-0.01834862385321101,Energy
AISA,111.0,109.0,81906300.0,9311800000.0,1014986200000.0,-0.018018018018018056,Consumer Non-Cyclicals
AKKU,38.0,38.0,0.0,6449463636.0,245079618168.0,0.0,Consumer Cyclicals
AKPI,505.0,496.0,101727000.0,612248000.0,303675008000.0,-0.017821782178217838,Basic Materials
AKRA,1340.0,1350.0,20872550500.0,20073474600.0,27099190710000.0,0.00746268656716409,Energy
AKSI,212.0,222.0,254019600.0,720000000.0,159840000000.0,0.04716981132075482,Transportation & Logistic
ALDO,690.0,680.0,11071500.0,2700713744.0,1836485345920.0,-0.01449275362318836,Basic Materials
ALII,755.0,750.0,727584500.0,15825800000.0,11869350000000.0,-0.0066225165562914245,Energy
ALKA,505.0,615.0,1316534000.0,507665055.0,312214008825.0,0.2178217821782178,Basic Materials
ALMI,74.0,74.0,0.0,3816000000.0,282384000000.0,0.0,Basic Materials
ALTO,18.0,18.0,0.0,2191870558.0,39453670044.0,0.0,Consumer Non-Cyclicals
AMAG,386.0,392.0,50724600.0,5001552516.0,1960608586272.0,0.015544041450777257,Financials
AMAN,264.0,264.0,197777200.0,3873500000.0,1022604000000.0,0.0,Properties & Real Estate
AMAR,206.0,206.0,37305400.0,18197283760.0,3748640454560.0,0.0,Financials
AMFG,3090.0,3060.0,1842000.0,434000000.0,1328040000000.0,-0.009708737864077666,Industrials
AMIN,242.0,242.0,1381600.0,1080000000.0,261360000000.0,0.0,Industrials
AMMN,3660.0,3760.0,291265344000.0,72518217656.0,272668498386560.0,0.02732240437158473,Basic Materials
AMMS,312.0,308.0,6671000.0,1235296802.0,380471415016.0,-0.012820512820512775,Consumer Non-Cyclicals
AMOR,332.0,334.0,63071200.0,2222222400.0,742222281600.0,0.006024096385542244,Financials
AMRT,1400.0,1360.0,41025064500.0,41524501700.0,56473322312000.0,-0.02857142857142858,Consumer Non-Cyclicals
ANDI,18.0,18.0,72750900.0,9350000000.0,168300000000.0,0.0,Consumer Non-Cyclicals
ANJT,1455.0,1535.0,107203000.0,3354175000.0,5148658625000.0,0.054982817869415834,Consumer Non-Cyclicals
ANTM,2920.0,3040.0,468182508000.0,24030764725.0,73053524764000.0,0.041095890410958846,Basic Materials
APEX,144.0,139.0,2256555900.0,3546466661.0,492958865879.0,-0.03472222222222221,Energy
APIC,635.0,635.0,613522500.0,11766313488.0,7471609064880.0,0.0,Financials
APII,182.0,182.0,345800.0,1075760000.0,195788320000.0,0.0,Industrials
APLI,244.0,246.0,22294400.0,1362671400.0,335217164400.0,0.008196721311475308,Basic Materials
APLN,126.0,137.0,40305687700.0,22699326779.0,3109807768723.0,0.08730158730158721,Properties & Real Estate
ARCI,1035.0,1055.0,48008011000.0,25235000000.0,26622925000000.0,0.019323671497584627,Basic Materials
AREA,244.0,244.0,216590000.0,2539601000.0,619662644000.0,0.0,Technology
ARGO,1015.0,1030.0,60394500.0,3174339029.0,3269569199870.0,0.014778325123152802,Consumer Cyclicals
ARII,270.0,268.0,43031800.0,3750000000.0,1005000000000.0,-0.007407407407407418,Energy
ARKA,22.0,22.0,0.0,2000000000.0,44000000000.0,0.0,Industrials
ARKO,4800.0,4780.0,3373807000.0,2928495000.0,13998206100000.0,-0.004166666666666652,Infrastructures
ARMY,50.0,50.0,0.0,9006250000.0,450312500000.0,0.0,Properties & Real Estate
ARNA,462.0,464.0,1092049000.0,7341430976.0,3406423972864.0,0.0043290043290042934,Industrials
ARTA,2420.0,2370.0,25443000.0,446674175.0,1058617794750.0,-0.02066115702479343,Consumer Cyclicals
ARTI,2.0,2.0,0.0,7840000000.0,15680000000.0,0.0,Energy
ARTO,1160.0,1250.0,29549294000.0,13722768400.0,17153460500000.0,0.07758620689655182,Financials
ASBI,422.0,428.0,214000.0,348386472.0,149109410016.0,0.014218009478673022,Financials
ASDM,510.0,505.0,37453500.0,384000000.0,193920000000.0,-0.009803921568627416,Financials
ASGR,1885.0,1905.0,2841769500.0,1348780500.0,2569426852500.0,0.010610079575596787,Industrials
ASHA,58.0,59.0,1341038000.0,5000000000.0,295000000000.0,0.01724137931034475,Consumer Non-Cyclicals
ASII,4880.0,4850.0,184207008000.0,40483553140.0,196345232729000.0,-0.006147540983606592,Industrials
ASJT,170.0,166.0,17865500.0,1400000000.0,232400000000.0,-0.02352941176470591,Financials
ASLC,60.0,64.0,1144517900.0,12746354780.0,815766705920.0,0.06666666666666665,Consumer Cyclicals
ASLI,184.0,198.0,2792414100.0,6250000000.0,1237500000000.0,0.07608695652173902,Infrastructures
ASMI,18.0,19.0,298345400.0,8958380460.0,170209228740.0,0.05555555555555558,Financials
ASPI,520.0,500.0,390667700.0,681823317.0,340911658500.0,-0.038461538461538436,Properties & Real Estate
ASPR,148.0,162.0,22192026900.0,2712000000.0,439344000000.0,0.09459459459459452,Basic Materials
ASRI,117.0,123.0,6353098500.0,19649411888.0,2416877662224.0,0.05128205128205132,Properties & Real Estate
ASRM,252.0,252.0,1083600.0,1277992036.0,322053993072.0,0.0,Financials
ASSA,615.0,625.0,1746291000.0,3691137517.0,2306960948125.0,0.016260162601626105,Transportation & Logistic
ATAP,600.0,620.0,1509589500.0,1250000000.0,775000000000.0,0.03333333333333344,Properties & Real Estate
ATIC,464.0,474.0,51961400.0,2315361355.0,1097481282270.0,0.02155172413793105,Technology
ATLA,50.0,50.0,15510000.0,6199577693.0,309978884650.0,0.0,Energy
AUTO,2520.0,2610.0,6871865000.0,4819733000.0,12579503130000.0,0.03571428571428581,Consumer Cyclicals
AVIA,324.0,328.0,3232223600.0,61953555600.0,20320766236800.0,0.012345679012345734,Basic Materials
AWAN,142.0,146.0,390043400.0,3435000000.0,501510000000.0,0.028169014084507005,Technology
AXIO,112.0,112.0,16464200.0,5840126500.0,654094168000.0,0.0,Technology
AYAM,354.0,360.0,18238007600.0,4000000000.0,1440000000000.0,0.016949152542372836,Consumer Non-Cyclicals
AYLS,144.0,152.0,1761091900.0,853423236.0,129720331872.0,0.05555555555555558,Basic Materials
BABP,50.0,50.0,10455000.0,44014333126.0,2200716656300.0,0.0,Financials
BABY,174.0,175.0,142548800.0,2854826582.0,499594651850.0,0.005747126436781658,Consumer Cyclicals
BACA,102.0,103.0,36378700.0,19753494636.0,2034609947508.0,0.009803921568627416,Financials
BAIK,670.0,665.0,7979010000.0,1127497572.0,749785885380.0,-0.007462686567164201,Consumer Cyclicals
BAJA,163.0,169.0,2968121000.0,1800000000.0,304200000000.0,0.036809815950920255,Basic Materials
BALI,1240.0,1235.0,2483500.0,3934592500.0,4859221737500.0,-0.0040322580645161255,Infrastructures
